date,taiex_close,taiex_drawdown,asset,asset_source
2019-06-21,10803.77,-0.03993029482516386,16.27082633972168,0050 Yahoo adjusted close
2019-06-24,10779.45,-0.042091475156645575,16.341259002685547,0050 Yahoo adjusted close
2019-06-25,10706.72,-0.048554577356837436,16.250701904296875,0050 Yahoo adjusted close
2019-06-26,10652.55,-0.05336835772510895,16.17020034790039,0050 Yahoo adjusted close
2019-06-27,10773.9,-0.04258467214841066,16.401636123657227,0050 Yahoo adjusted close
2019-06-28,10730.83,-0.04641205853315222,16.2808895111084,0050 Yahoo adjusted close
2019-07-01,10895.46,-0.03178232506391576,16.63306999206543,0050 Yahoo adjusted close
2019-07-02,10865.12,-0.03447846861889736,16.59282112121582,0050 Yahoo adjusted close
2019-07-03,10743.77,-0.04526215419559576,16.401636123657227,0050 Yahoo adjusted close
2019-07-04,10775.9,-0.042406943502729555,16.502262115478516,0050 Yahoo adjusted close
2019-07-05,10785.73,-0.041533407209207174,16.482139587402344,0050 Yahoo adjusted close
2019-07-08,10751.22,-0.044600114990433815,16.42176055908203,0050 Yahoo adjusted close
2019-07-09,10702.78,-0.04890470278882908,16.401636123657227,0050 Yahoo adjusted close
2019-07-10,10798.48,-0.04040038709299043,16.542509078979492,0050 Yahoo adjusted close
2019-07-11,10843.42,-0.03640682442453691,16.673320770263672,0050 Yahoo adjusted close
2019-07-12,10824.35,-0.03810146706110584,16.653194427490234,0050 Yahoo adjusted close
2019-07-15,10876.43,-0.03347341312757102,16.743755340576172,0050 Yahoo adjusted close
2019-07-16,10886.05,-0.03261853834184514,16.773941040039062,0050 Yahoo adjusted close
2019-07-17,10828.48,-0.03773445740777448,16.663257598876953,0050 Yahoo adjusted close
2019-07-18,10799.28,-0.04032929563471788,16.643131256103516,0050 Yahoo adjusted close
2019-07-19,10873.19,-0.033761333533574245,16.846099853515625,0050 Yahoo adjusted close
2019-07-22,10944.53,-0.027421752742130878,16.92728614807129,0050 Yahoo adjusted close
2019-07-23,10947.26,-0.027179153140776235,16.967876434326172,0050 Yahoo adjusted close
2019-07-24,10935.76,-0.0282010928534423,16.957727432250977,0050 Yahoo adjusted close
2019-07-25,10941.41,-0.027699009429393406,17.008468627929688,0050 Yahoo adjusted close
2019-07-26,10891.98,-0.032091572907400834,16.896841049194336,0050 Yahoo adjusted close
2019-07-29,10885.73,-0.032646974925154115,16.937427520751953,0050 Yahoo adjusted close
2019-07-30,10830.9,-0.03751940574650037,16.886688232421875,0050 Yahoo adjusted close
2019-07-31,10823.81,-0.03814945379543977,16.805503845214844,0050 Yahoo adjusted close
2019-08-01,10731.75,-0.04633030335613897,16.704021453857422,0050 Yahoo adjusted close
2019-08-02,10549.04,-0.06256670378233209,16.430017471313477,0050 Yahoo adjusted close
2019-08-05,10423.41,-0.073730728660788,16.267648696899414,0050 Yahoo adjusted close
2019-08-06,10394.75,-0.0762775801533977,16.257497787475586,0050 Yahoo adjusted close
2019-08-07,10386.18,-0.07703914740014095,16.176313400268555,0050 Yahoo adjusted close
2019-08-08,10494.49,-0.06741425259328315,16.369131088256836,0050 Yahoo adjusted close
2019-08-12,10472.36,-0.06938082005774404,16.358978271484375,0050 Yahoo adjusted close
2019-08-13,10362.66,-0.07912923627335022,16.176313400268555,0050 Yahoo adjusted close
2019-08-14,10427.73,-0.07334683478611703,16.298091888427734,0050 Yahoo adjusted close
2019-08-15,10327.13,-0.08228658566387437,16.115421295166016,0050 Yahoo adjusted close
2019-08-16,10420.89,-0.07395466675434625,16.30824089050293,0050 Yahoo adjusted close
2019-08-19,10488.75,-0.06792433380638785,16.39957618713379,0050 Yahoo adjusted close
2019-08-20,10522.5,-0.06492516291051986,16.440168380737305,0050 Yahoo adjusted close
2019-08-21,10525.8,-0.06463191064514617,16.460464477539062,0050 Yahoo adjusted close
