date,open,high,low,close,source,hwm,hwm_date,drawdown
2000-09-27,6717.04,6717.04,6717.04,6717.04,TWSE FMTQIK,10202.2,2000-02-17,-0.3416086726392348
2000-09-28,6564.87,6564.87,6564.87,6564.87,TWSE FMTQIK,10202.2,2000-02-17,-0.35652408304091276
2000-09-29,6432.36,6432.36,6432.36,6432.36,TWSE FMTQIK,10202.2,2000-02-17,-0.3695124580972732
2000-09-30,6185.14,6185.14,6185.14,6185.14,TWSE FMTQIK,10202.2,2000-02-17,-0.3937444864833075
2000-10-02,6024.07,6024.07,6024.07,6024.07,TWSE FMTQIK,10202.2,2000-02-17,-0.4095322577483289
2000-10-03,6143.44,6143.44,6143.44,6143.44,TWSE FMTQIK,10202.2,2000-02-17,-0.39783184019133133
2000-10-04,5997.92,5997.92,5997.92,5997.92,TWSE FMTQIK,10202.2,2000-02-17,-0.4120954303973653
2000-10-05,6029.65,6029.65,6029.65,6029.65,TWSE FMTQIK,10202.2,2000-02-17,-0.408985316892435
2000-10-06,6353.67,6353.67,6353.67,6353.67,TWSE FMTQIK,10202.2,2000-02-17,-0.37722550038227054
2000-10-07,6352.03,6352.03,6352.03,6352.03,TWSE FMTQIK,10202.2,2000-02-17,-0.37738625002450454
2000-10-09,6209.42,6209.42,6209.42,6209.42,TWSE FMTQIK,10202.2,2000-02-17,-0.39136460763364767
2000-10-11,6040.55,6040.55,6040.55,6040.55,TWSE FMTQIK,10202.2,2000-02-17,-0.4079169198800259
2000-10-12,5805.01,5805.01,5805.01,5805.01,TWSE FMTQIK,10202.2,2000-02-17,-0.43100409715551546
2000-10-13,5876.11,5876.11,5876.11,5876.11,TWSE FMTQIK,10202.2,2000-02-17,-0.4240350120562233
2000-10-16,5630.95,5630.95,5630.95,5630.95,TWSE FMTQIK,10202.2,2000-02-17,-0.4480651232087197
2000-10-17,5702.36,5702.36,5702.36,5702.36,TWSE FMTQIK,10202.2,2000-02-17,-0.44106565250632224
2000-10-18,5432.23,5432.23,5432.23,5432.23,TWSE FMTQIK,10202.2,2000-02-17,-0.46754327497990633
2000-10-19,5081.28,5081.28,5081.28,5081.28,TWSE FMTQIK,10202.2,2000-02-17,-0.501942718237243
