date,open,high,low,close,source
2001-04-20,5596.63,5596.63,5596.63,5596.63,TWSE FMTQIK
2001-04-23,5597.7,5597.7,5597.7,5597.7,TWSE FMTQIK
2001-04-24,5589.34,5589.34,5589.34,5589.34,TWSE FMTQIK
2001-04-25,5516.2,5516.2,5516.2,5516.2,TWSE FMTQIK
2001-04-26,5518.73,5518.73,5518.73,5518.73,TWSE FMTQIK
2001-04-27,5416.67,5416.67,5416.67,5416.67,TWSE FMTQIK
2001-04-30,5381.67,5381.67,5381.67,5381.67,TWSE FMTQIK
2001-05-02,5304.24,5304.24,5304.24,5304.24,TWSE FMTQIK
2001-05-03,5405.54,5405.54,5405.54,5405.54,TWSE FMTQIK
2001-05-04,5244.05,5244.05,5244.05,5244.05,TWSE FMTQIK
2001-05-07,5229.93,5229.93,5229.93,5229.93,TWSE FMTQIK
2001-05-08,5176.71,5176.71,5176.71,5176.71,TWSE FMTQIK
2001-05-09,5232.64,5232.64,5232.64,5232.64,TWSE FMTQIK
2001-05-10,5122.17,5122.17,5122.17,5122.17,TWSE FMTQIK
2001-05-11,5232.72,5232.72,5232.72,5232.72,TWSE FMTQIK
2001-05-14,5176.45,5176.45,5176.45,5176.45,TWSE FMTQIK
2001-05-15,5158.79,5158.79,5158.79,5158.79,TWSE FMTQIK
2001-05-16,5082.02,5082.02,5082.02,5082.02,TWSE FMTQIK
2001-05-17,5143.44,5143.44,5143.44,5143.44,TWSE FMTQIK
2001-05-18,5111.67,5111.67,5111.67,5111.67,TWSE FMTQIK
2001-05-21,4958.61,4958.61,4958.61,4958.61,TWSE FMTQIK
2001-05-22,4991.48,4991.48,4991.48,4991.48,TWSE FMTQIK
2001-05-23,5209.97,5209.97,5209.97,5209.97,TWSE FMTQIK
2001-05-24,5226.79,5226.79,5226.79,5226.79,TWSE FMTQIK
2001-05-25,5170.08,5170.08,5170.08,5170.08,TWSE FMTQIK
2001-05-28,5079.72,5079.72,5079.72,5079.72,TWSE FMTQIK
